"source","target","sectionspeed"
"BEFAR","BEFTT","120.0"
"BEMX","BEYMX","120.0"
"BEFLC","BEFTK","120.0"
"BEFDK","BEFDKDS","40.0"
"BEFIK","BEFVU","120.0"
"BEFTK","BEFIK","120.0"
"BEFTT","BEFLC","120.0"
"BEYMX","BEFDK","120.0"
"BEFD","BEFAR","120.0"
"BEFDWS","BEFD","160.0"
"BELK","BEYBETH","60.0"
"BEFD","BEFVG","160.0"
"BEFMC","EU00084","120.0"
"BEFVG","BEFHL","160.0"
"BEFGSP","BEFPT","160.0"
"BELKRLN","BEFWU","120.0"
"BEFWU","BEFMC","160.0"
"BEYBETH","BELKRLN","120.0"
"BEFHL","BEYZABG","160.0"
"BEYZABG","BELK","120.0"
"BEFPT","BEFDWS","160.0"
"BEFXS","BEGFY","140.0"
"BEFMC","BEFXS","140.0"
"BEYBETH","BELKV","40.0"
"BELKV","BELKRLN","40.0"
"BEFWU","BEFWULR","20.0"
"BELKOP","BELKV","40.0"
"BEFCA","BEMAU","160.0"
"BELLT","BEFPL","160.0"
"BEFNT","BEFTY","160.0"
"BEFPM","BEFRH","160.0"
"BEYMAUB","BEFNT","160.0"
"BEFPL","BEFCA","160.0"
"BEMAU","BEYMAUB","160.0"
"BEFRH","BELLT","160.0"
"BEFGH","BEFPM","160.0"
"BEFRPM","BEBAM","70.0"
"BEFLS","BEFLSK","70.0"
"BEBAM","BEFRU","70.0"
"BEFVH","BEFRPM","70.0"
"BEFLSK","BEFVH","70.0"
"BEYEINE","BEFEI","120.0"
"BEFDN","BEYEINE","90.0"
"BEFEI","BEFZG","120.0"
"BEFKE","BEFPT","120.0"
"BEFGA","BEFKE","120.0"
"BEFZG","BEFGA","120.0"
"BEFPG","BEFDN","120.0"
"BEFRN","BEFPG","120.0"
"BEFLNC","BEYHRNG","20.0"
"BEFLNCC","BEFLNC","20.0"
"BEFDD","BELWE","120.0"
"BEHIL","BEFZT","120.0"
"BEMTH","BEFHZ","120.0"
"BELWE","BEFHA","120.0"
"BEFNZ","BEFDN","120.0"
"BEFDN","BEFAN","120.0"
"BELDK","BEYZABG","120.0"
"BEFZT","BEMNK","120.0"
"BEMNK","BEFNZ","120.0"
"BEFHZ","BEHIL","120.0"
"BEFHA","BEMEE","120.0"
"BEMEE","BEFRU","120.0"
"BEFVE","BELDK","120.0"
"BEFAN","BEFVE","120.0"
"BEFRU","BEMTH","120.0"
"BEFIC","BEMAP","120.0"
"BEFNNWS","BEFNN","120.0"
"BEFKO","BEFNNWS","120.0"
"BEGIR","BEFKO","120.0"
"BEMHG","BEFAP","90.0"
"BEFGRA","BEFXA","120.0"
"BEFDD","BEGIR","120.0"
"BEFLN","BEYHRNG","90.0"
"BEMAP","BEFZB","120.0"
"BEYNDBL","BEFGRA","120.0"
"BEFID","BEFED","120.0"
"BEFED","BEYNDBL","120.0"
"BEFNN","BEFIC","120.0"
"BEYHRNG","BEMHG","90.0"
"BEFZB","BEFID","120.0"
"BEFXA","BEFLN","120.0"
"BEFXR","BEATH","90.0"
"BEFAP","BEFXR","90.0"
"BEYFNE","BEFNE","120.0"
"BEFUC","BEFBG","120.0"
"BEFJR","BEYFNE","60.0"
"BEFBG","BEFEV","120.0"
"BEFFA","BEATH","120.0"
"BEFNE","BEFUC","120.0"
"BEFEV","BEFFA","120.0"
"BEYSLLY","BEYLCC","140.0"
"BEFIL","BEYSLLY","140.0"
"BEFSA","BEFNG","140.0"
"BEFNG","BEFIL","140.0"
"BEFHV","BEFTY","140.0"
"BEYFHN","BEFH","146.66666666666666"
"BEFLZ","BEFHV","140.0"
"BEGFY","EU00085","140.0"
"BEYLCC","BEATH","140.0"
"BEATH","BEFLZ","140.0"
"BEFH","BEFSA","140.0"
"BEFTY","BEGFY","140.0"
"BEFNY","BEFNYG","160.0"
"BEFGU","BEYFHN","146.66666666666666"
"BEMLY","BELQV","140.0"
"BEFH","BEFLB","140.0"
"BEYFSG","BEFSG","140.0"
"BEFYP","BEYFJR","140.0"
"BEYRUBR","BEFRB","160.0"
"BEFSG","BEFFVG","150.0"
"BEFFV","BEFYP","140.0"
"BESP165","BEFO","120.0"
"BEFNYG","BEFBC","160.0"
"BEFBC","BEYFSG","160.0"
"BELOT","BEFGU","146.66666666666666"
"BEFJR","BEFIU","140.0"
"BELQV","EU00086","140.0"
"BEFIH","BEFMS","140.0"
"BEFO","BEYRUBR","93.33333333333333"
"BEFTZ","BEFNY","160.0"
"BELCS","BELRS","140.0"
"BELRS","BEMLY","140.0"
"BEFFVG","BEFFV","140.0"
"BEFRB","BELOT","160.0"
"BEFLB","BEFTZ","140.0"
"BEFMS","BELCS","140.0"
"BEYFJR","BEFJR","140.0"
"BEFBMZ","BESP165","120.0"
"BEFIU","BEFIH","140.0"
"BEPN63","BEYFSG","60.0"
"BEYFCS","BEPN63","60.0"
"BEPN78","BEYFNE","60.0"
"BEYFJR","BEPN78","60.0"
"BEFO","BERRBB","90.0"
"BEFBKI","BEFO","90.0"
"BERRBB","BEYRUBR","90.0"
"BEFOVR","BEFO926","40.0"
"BEFOVRQ","BEFOVR","40.0"
"BEFBKI","BEFOND","40.0"
"BEFOND","BEFOVRQ","40.0"
"BEFO926","BEFO","40.0"
"BEFHBV","BEFH","60.0"
"BEYFHN","BEFHBV","60.0"
"BEFBKI","BEFBKIC","40.0"
"BEFBKIC","BEFOND","40.0"
"BEFMS","BELCSA","40.0"
"BEFBMZ","BEYRUBR","160.0"
"BEYRUBR","BEYFHN","160.0"
"BEFTU","BEFQ","120.0"
"BEFQR","BEYCRIQ","160.0"
"BEFGH","BEFSB","90.0"
"BEYCRIQ","BEFGH","120.0"
"BEFJM","BEFQR","160.0"
"BEFSB","BEHAI","120.0"
"BEHAI","BEFTU","120.0"
"BEFMS","BEFJM","160.0"
"BEFOVTO","BEFOVM","40.0"
"BEFOND","BEFOVTO","40.0"
"BEYCRIQ","BECRQLN","40.0"
"BECRQLN","BELTT","40.0"
"BERYARA","BERPOLY","40.0"
"BERPOLY","BERFDEY","40.0"
"BELTT","BERYARA","40.0"
"BEFLB","BEFEQ","40.0"
"BEFEQ","BEFEQM","40.0"
"BEHAYET","BELVL","120.0"
"BEYMMNT","BEHAYET","90.0"
"BELVL","BELBH","120.0"
"BELVRS","BEYSTVA","86.66666666666667"
"BEYLFC","BELPT","140.0"
"BELPT","BELNS","120.0"
"BELNS","BELMZ","120.0"
"BELMZ","BEYMMNT","120.0"
"BELFC","BEYLFC","140.0"
"BEYMTNT","BELFC","140.0"
"BEYSTVA","BELVR","60.0"
"BEYMMNT","BELVRS","120.0"
"BEFMR","BEYMTNT","90.0"
"BELNC","BEYMTNT","40.0"
"BELBC","BELPT","40.0"
"BEFTZ","BEFQN","40.0"
"BEFTZ","BEFEQ","40.0"
"BEFMN","BEYBHAI","60.0"
"BELVR","BEYLPAI","90.0"
"BEYBHAI","BEGLI","90.0"
"BEGLI","BELVR","90.0"
"BEYFFM","BEYBHAI","50.0"
"BEFBC","BEYFCS","120.0"
"BEFCZ","BEYLFL","120.0"
"BEYFFM","BEFMN","90.0"
"BEFFM","BEYFFM","120.0"
"BEFCS","BEFCZ","120.0"
"BEYFCS","BEFCS","120.0"
"BEFDI","BEFGP","120.0"
"BEFMN","BEFDI","120.0"
"BEYLFL","BEFFM","120.0"
"BEFGP","BEFPN","120.0"
"BEFPN","BEFLU","120.0"
"BEYLPAI","BELBQ","120.0"
"BELU","BELHR","130.0"
"BELHR","BELRGG","130.0"
"BEYSTVA","BEYLPAI","100.0"
"BELBQ","BELU","130.0"
"BELRG","BELNM","130.0"
"BELRGG","BELRG","130.0"
"BELNM","BEFMS","130.0"
"BEFZM","BEFLDK","90.0"
"BEFZT","BEFGE","90.0"
"BEYNDBL","BEFRD","90.0"
"BEFLDK","BEFOO","90.0"
"BEFGED","BEFSK","90.0"
"BEFOO","BEYFML","90.0"
"BEFGE","BEFGED","90.0"
"BEFRD","BEFZT","90.0"
"BEFSK","BEFZM","90.0"
"BEFNG","BEFRE","120.0"
"BELOK","BEFGM","120.0"
"BEFGM","BEFKV","120.0"
"BEFKV","BETOBL","120.0"
"BEFRE","BELOK","120.0"
"BETOBL","BEFGRA","120.0"
"BELCCM","BEFRX","115.0"
"BEYFOST","BEFOST","120.0"
"BEFBAC","BEFOL","120.0"
"BEFXB","BEFLU","140.0"
"BEFWT","BEFBD","120.0"
"BEFBA","BEFBAC","120.0"
"BEFLU","BELCCM","115.0"
"BEFUS","BEFTE","120.0"
"BEHOL","BEFGO","120.0"
"BEFTE","BEYLKBK","120.0"
"BEBUZET","BEFXB","140.0"
"BEFMR","BEYNORD","120.0"
"BEFBD","BEFBA","120.0"
"BEYLKBK","BELKN","120.0"
"BEFOL","BEFSUD","120.0"
"BELKN","BEHOL","120.0"
"BEFOST","BEFUS","120.0"
"BEFNVT","BEBUZET","140.0"
"BEFSUD","BEFNVT","60.0"
"BEYNORD","BEFCR","77.5"
"BEFRX","BEFMR","120.0"
"BEFHO","BEFWT","120.0"
"BEFBMZ","BEYFOST","80.0"
"BEFGO","BEFHO","120.0"
"BELLS","BEYLLS","40.0"
"BEFCRA","BEFCR","40.0"
"BEFMI","BEFCRA","40.0"
"BEFSUD","BEFSU","40.0"
"BEFSU","BEFNVT","40.0"
"BELNCGF","BEFMR","120.0"
"BEYLLS","BEYNORD","90.0"
"BEFRX","BELNCGF","120.0"
"BEFMR","BEYLLS","90.0"
"BELNC","BEFMR","40.0"
"BELNCGF","BELNC","40.0"
"BEFRX","BELNC16","40.0"
"BELNC16","BELNCR","40.0"
"BELNCR","BELNCGF","40.0"
"BEAIG","BENG","120.0"
"BERCARM","BENS","120.0"
"BELHY","BENBE","120.0"
"BEFJU","BELFG","120.0"
"BERDUMO","BELHF","120.0"
"BELHF","BENM","120.0"
"BELFG","BEYLMAN","120.0"
"BELFH","BEAIG","120.0"
"BECHAS","BERCARM","120.0"
"BEPLMCT","BEFNRHB","120.0"
"BEBEEZ","BEPLMCT","120.0"
"BENS","BENMH","120.0"
"BEFL","BENSN","120.0"
"BENH","BERDUMO","120.0"
"BEFNRHB","BEFNR","120.0"
"BENG","BENH","120.0"
"BENDN","BECHAS","120.0"
"BENBE","BENJV","120.0"
"BENA","BELY","120.0"
"BEYLMAN","BEMAN","120.0"
"BENTL","BEFPD","120.0"
"BELY","BELHY","90.0"
"BENJV","BENDN","120.0"
"BEMAN","BELFH","120.0"
"BENSN","BENTL","120.0"
"BENMD","BEBEEZ","120.0"
"BENMDMA","BENMD","120.0"
"BENM","BENA","120.0"
"BEFPD","BEFJU","120.0"
"BENMH","BENMDMA","120.0"
"BEFBAC","BEBA824","40.0"
"BEYGADI","BENK2","60.0"
"BEYVALB","BENK2","40.0"
"BEYLMAN","BEYBGNT","40.0"
"BEYVSLB","BELFA","50.0"
"BEYBGNT","BELFH","50.0"
"BELFA","BEYBGNT","50.0"
"BENKREL","BEYRENO","90.0"
"BEYRENO","BELGR","90.0"
"BELGRFK","BENSR","90.0"
"BELGR","BELGRFK","90.0"
"BENSR","BEYVSLB","90.0"
"BENK2","BENKREL","90.0"
"BENKGRF","BENKREC","40.0"
"BENK","BENKGRF","40.0"
"BENKREC","BEYRENO","40.0"
"BENK2","BENK","40.0"
"BENKAO","BENKGRF","40.0"
"BERENO2","BENKREC","40.0"
"BENKAO","BERENO2","40.0"
"BELHY","BELAC","40.0"
"BEFVL","BEFTM","120.0"
"BEYFFW","BEFFW","70.0"
"BEFJSMA","BEFVL","100.0"
"BEFLF","BEFNFEF","100.0"
"BEFNF","BEFMT","100.0"
"BEFFW","BEFLF","100.0"
"BEFEO","BEYFFW","100.0"
"BEFRC","BEFCLGE","120.0"
"BEFTM","BEFAO","120.0"
"BEFFC","BEFRC","120.0"
"BEFNR","BEFEO","100.0"
"BEFCL","BEFCLGO","92.0"
"BEFCLGE","BEFCL","80.0"
"BEFNFEF","BEFNF","100.0"
"BEFAO","BEFFC","120.0"
"BEMHM","BEFJS","100.0"
"BEFCLGO","BELCL","120.0"
"BELCL","BEFCR","105.0"
"BEFMT","BEFMTG","100.0"
"BEFJS","BEFJSMA","80.0"
"BEFMTG","BEMHM","100.0"
"BELJF","BEGSOL1","40.0"
"BEGSOL1","BEFMTG","40.0"
"BEFCR","BEYNORD","90.0"
"BELQ","EU00087","110.0"
"BEMHR","BENTH","100.0"
"BENLS","BENLSG","120.0"
"BENLB","BENSS","120.0"
"BENSS","BELQB","120.0"
"BENL","BEMHR","100.0"
"BENTH","BENLS","100.0"
"BENZ","BENL","100.0"
"BENFV","BENLB","120.0"
"BELLS","BENZ","100.0"
"BELQB","BELQ","120.0"
"BENLSG","BENFV","120.0"
"BEYNORD","BELLS","100.0"
"BEFEOF","BEYFFW","40.0"
"BEYFEO","BEFEOGR","40.0"
"BEFEOGR","BEFEOF","40.0"
"BEFCRDP","BELCL","90.0"
"BEFCLGO","BEFCRDP","90.0"
"BEFEO","BEFEOF","40.0"
"BEYFEO","BEFEO","90.0"
"BEFNR","BEYFEO","90.0"
"BEFCLC","BEFCLGE","40.0"
"BEFCLGS","BEFCLGO","40.0"
"BEFCLGE","BEFCLGS","40.0"
"BEFRC","BEFCLF","40.0"
"BEFCLF","BEFCLGE","40.0"
"BEFRC","BEFCLC","40.0"
"BEFCLCW","BEFCLGE","40.0"
"BEFCLC","BEFCLCW","40.0"
"BELCL","BEGCRA","40.0"
"BEGCRA","BEFCR","40.0"
"BEFEOF","BEFEOPE","40.0"
"BEFEOPE","BEFFW","40.0"
"BEFEOGR","BEFEOCL","40.0"
"BEGSOL1","BERSOL1","40.0"
"BERAPRM","BEFCL","20.0"
"BELBZ","BEPRY","90.0"
"BELHH","BELUH","90.0"
"BEGJ","BEBEI","90.0"
"BEFYG","BERPET","90.0"
"BEGPL","BELMG","120.0"
"BELWC","BEFYG","90.0"
"BEBEI","BELHH","90.0"
"BELUH","BELBZ","90.0"
"BELLS","BEGJ","100.0"
"BEPRY","BELWC","90.0"
"BERPET","BEGPL","120.0"
"BELMG","BELCV","90.0"
"BEFCLGO","BERDIST","40.0"
"BEGLM","BEYLTR","120.0"
"BEGHE","BEGVH","90.0"
"BEARC","BEGG","120.0"
"BEGG","BEBGWV","120.0"
"BEGFL","BEARC","120.0"
"BEGWV","BEFBRG","120.0"
"BEBGWV","BEGWV","120.0"
"BEGHEKL","BEGHE","90.0"
"BEYLTR","BELT","60.0"
"BEFLV","BEYPABR","90.0"
"BEFBRG","BEGLM","120.0"
"BEYPABR","BEGHEKL","90.0"
"BEGSW","BEFPC","120.0"
"BEFPC","BEGFL","120.0"
"BEGVH","BEGSW","90.0"
"BEFLV","BEFLVEB","40.0"
"BEYTIVO","BEYPABR","40.0"
"BEFLVEB","BEYTIVO","40.0"
"BEFLVQ","BEYTIVO","40.0"
"BEFLV","BEFLVQ","40.0"
"BEYLTR","BELTR","40.0"
"BELTR","BELT","40.0"
"BEGTI","BEGTIG","120.0"
"BELT","BEMCM","120.0"
"BEFCRO","BEFMI","40.0"
"BELLE","BEGTI","120.0"
"BEFMI","BEYNORD","40.0"
"BEGTIG","BEFGY","120.0"
"BEMCM","BELCN","120.0"
"BELFR","BELDS","120.0"
"BELDS","BEFCRO","120.0"
"BEGLR","BELLE","120.0"
"BEMFX","BEGLR","120.0"
"BEFGY","BELFR","120.0"
"BELCN","BEMFX","120.0"
"BEFCRO","BEFCR","30.0"
"BELGB","BECAD","90.0"
"BELJF","BEFJS","60.0"
"BEFZY","BELJF","90.0"
"BECAD","BEFZY","90.0"
"BELJF","BERSOL2","40.0"
"BEFVL","BELFR","90.0"
"BEFTM","BEMAI","40.0"
"BENDT","BEYNFFE","90.0"
"BEFNR","BEFNRHB","65.0"
"BEFNRHB","BENJ","90.0"
"BENGD","BENV","90.0"
"BENLT","BENGD","90.0"
"BENJ","BENLT","90.0"
"BENV","BENDT","90.0"
"BELMH","BEYSTLB","40.0"
"BEYSTLB","BEMCR","40.0"
"BEMSM","BERBURG","40.0"
"BEMGV","BEMRX","130.0"
"BEYJSPH","BERGR","90.0"
"BEFW","BEMBR","130.0"
"BERBKBS","BEML","130.0"
"BEYLNO","BEMM","130.0"
"BEMNG","BELGB","130.0"
"BELGB","BEMLZ","130.0"
"BEFBSM","BELX","75.0"
"BEMDL","BEFOY","130.0"
"BEMC","BEMNG","130.0"
"BEMD","BEMRNS","130.0"
"BEMBZ","BEMD","130.0"
"BEMTB","BEFW","105.0"
"BEMRX","BELPF","130.0"
"BEMLZ","BEMBZ","130.0"
"BEFSR","BEYJSPH","40.0"
"BEML","BEMGV","130.0"
"BEMBR","BEMDL","130.0"
"BERGR","BEFBSM","90.0"
"BELX","BEMTB","120.0"
"BELT","BEYLNO","110.0"
"BEMRNS","BEMRN","130.0"
"BEMRN","BEFNR","130.0"
"BEFOY","BERBKBS","130.0"
"BEMM","BEMBL","130.0"
"BEMBL","BEMC","130.0"
"BELPF","BELT","130.0"
"BEYZEBR","BEYJSPH","50.0"
"BERFBNF","BEYJSPH","50.0"
"BEY50","BEFBSM","60.0"
"BELX","BEGMJ","90.0"
"BEGMJ","BEMTB","90.0"
"BEYLNO","BELNO","90.0"
"BEFSR","BEFSRM","40.0"
"BEMKMSD","BEFVIV","130.0"
"BEMML","BELJ","130.0"
"BEAYE","BEMML","130.0"
"BEFNRHB","BENJE","130.0"
"BEMHB","BEMKMND","130.0"
"BEYMTL","EU00096","130.0"
"BEMHT","BELRB","130.0"
"BEMLG","BECHAP","130.0"
"BEMHV","BEAYE","130.0"
"BEFVIV","BELL","130.0"
"BEMHVG","BEMHV","130.0"
"BEMKMND","BEMKM","130.0"
"BEMLV","BELMH","130.0"
"BEMKM","BEMKMSD","130.0"
"BESB","BEMBS","130.0"
"BEFLO","BEMNT","130.0"
"BEMNN","BESB","130.0"
"BEMBRBT","BELC","130.0"
"BELMH","BEMHB","130.0"
"BELNG","BEMLV","130.0"
"BELRB","BELNG","130.0"
"BELJ","BEMFR","130.0"
"BEMBS","BEMRR","130.0"
"BECHAP","BEMHVG","130.0"
"BEMDT","BEMNN","130.0"
"BELC","BEMLG","130.0"
"BEMAS","BEFLO","130.0"
"BEMFR","BEMGP","130.0"
"BEMPX","BEMHT","130.0"
"BEMRR","BEMAS","130.0"
"BENJE","BEMDT","130.0"
"BEMRWRT","BEMPX","130.0"
"BEMGP","BEMRWRT","130.0"
"BELL","BEYMTL","130.0"
"BEMNT","BEMBRBT","130.0"
"BEMKMND","BEMKMR","40.0"
"BEMKMR","BEMKMSD","40.0"
"BELL","BELLPED","40.0"
"BELRB","BEMBX","120.0"
"BEYAUBG","BEMH","40.0"
"BEMAB","BEYAUBG","120.0"
"BEMSG","BEMHZ","120.0"
"BEMSM","BEMSG","120.0"
"BEMABZG","BEMAB","120.0"
"BEMST","BEMFL","120.0"
"BEMBX","BEMST","120.0"
"BERMBF","BEMSM","120.0"
"BEMFL","BERMBF","120.0"
"BEMHZ","BEMABZG","120.0"
"BEYAUBG","BEMABGE","60.0"
"BEMABGE","EU00088","60.0"
"BEYMHS","EU00097","60.0"
"BEYAUBG","BEYMHS","60.0"
"BEYMHN","BEYMHS","60.0"
"BEYMHS","BEMABGE","60.0"
"BERJEHO","BEMBX","120.0"
"BEMGD","BEMCL","120.0"
"BEYNFFE","BEMNS","90.0"
"BEMBG","BEMVO","120.0"
"BEMVO","BEMGMAR","120.0"
"BEMCL","BEMPL","120.0"
"BEMNS","BEMGN","90.0"
"BEMG","BEMGD","120.0"
"BEMGN","BEMHY","90.0"
"BEMHY","BEMBG","120.0"
"BEMGMAR","BEMG","120.0"
"BEMPL","BERJEHO","120.0"
"BEYMHN","EU00098","70.0"
"BEYMTL","BEMY","80.0"
"BEMY","BEMHLG","80.0"
"BEMH","BEYMHN","70.0"
"BEMHLG","BEMH","90.0"
"BEMHLG","BEMHA","40.0"
"BEMHA","BEMH","40.0"
"BEYSTBR","BELZEK","40.0"
"BERFSDC","BEFSDP1","40.0"
"BEBRAM","BELZRSR","40.0"
"BEYEIV","BEBRAM","40.0"
"BEYPEL","BEYEIV","40.0"
"BEBPEL","BEYEIV","40.0"
"BEFGZH","BEYFRMN","40.0"
"BEFGRD","BEFGRDD","40.0"
"BEYBOMA","BET017","40.0"
"BET017","BEYFRMN","40.0"
"BESIFF","BEFGRD","40.0"
"BEYFRMN","BESIFF","40.0"
"BEFGRDD","BEFGND","40.0"
"BESIFF","BESIFFL","40.0"
"BESIFF","BESIFFR","40.0"
"BEYFRMN","BEDARSE","20.0"
"BEVEXCH","BEVDEBT","40.0"
"BEVIVAR","BEVEXCH","40.0"
"BEVBPCH","BEVIVAR","40.0"
"BEYALBK","BE2012","40.0"
"BELGCT","BEVBPCH","40.0"
"BE2012","BELGCT","40.0"
"BEVDEBT","BEMHECM","40.0"
"BEYGSLO","BEYGSLW","40.0"
"BEYFNSO","BEVSTOR","40.0"
"BEYKTNZ","BET007","40.0"
"BEVHALT","BEYGSLO","40.0"
"BEYGSLW","BEVASHL","40.0"
"BET007","BEYKTNO","40.0"
"BEYKTNO","BEYFNSO","40.0"
"BEVLANX","BEVHALT","40.0"
"BEVSTOR","BEVLANX","40.0"
"BEYFNSZ","BEYFNSO","40.0"
"BEYDENB","BEYFNSZ","40.0"
"BEYFNSW","BEYKTNO","40.0"
"BEYGSLZ","BEYGSLO","40.0"
"BEYKHKO","BEYGSLW","40.0"
"BEYGSLO","BEVLLH","40.0"
"BEVMEXN","BEV3M","40.0"
"BECND","BEVBAYR","40.0"
"BEVBAYR","BEVMEXN","40.0"
"BELKL","BECND","40.0"
"BEVADPO","BEYDENB","40.0"
"BEYSLND","BEYKRIN","40.0"
"BEYKHKO","BEYKHKW","40.0"
"BEKIELD","BEYKRHK","40.0"
"BEYKHKW","BEKIELD","40.0"
"BEYKRIN","BEVADPO","40.0"
"BEYGSLZ","BEYKHKO","40.0"
"BEYDENB","BEYKTNZ","40.0"
"BEYKTNZ","BEYKTNW","40.0"
"BEYKTNW","BEYGSLZ","40.0"
"BEYFNSW","BEYKTNW","40.0"
"BET007","BEYFNSW","40.0"
"BEYFNSZ","BET007","40.0"
"BEAET","BEYAET","40.0"
"BEKRHKJ","BEYARBG","40.0"
"BEYKRHK","BEKRHKJ","40.0"
"BEYHNDP","BEYHAZP","40.0"
"BEYVBRK","BEYAET","40.0"
"BEYSPFT","BEYVBRK","40.0"
"BEYARBG","BEYSPFT","40.0"
"BEYAET","BEYHNDP","40.0"
"BEFNWHV","BEYVBRK","40.0"
"BEVTBKN","BEYAET","40.0"
"BEVITCR","BEYSPFT","40.0"
"BEYARBG","BEVITCR","40.0"
"BEVNONA","BEVSHPT","40.0"
"BELIEFK","BEVNONA","40.0"
"BELIEFK","BEYGSLZ","40.0"
"BEYKTNW","BELIEFK","40.0"
"BEKALIS","BEYKHKW","40.0"
"BEYKHKO","BEKALIS","40.0"
"BEYHNDP","BEYAVEN","40.0"
"BEFBX","BECHE","40.0"
"BEYESTZ","BEFMVSL","40.0"
"BEYESTN","BEFMVOD","40.0"
"BELH","BELHDSP","40.0"
"BERBZKN","BEFKLDZ","40.0"
"BEFARWE","BEBELBA","40.0"
"BEBELBA","BEYFORD","40.0"
"BEYFORD","BEYNDRL","30.0"
"BEYLEOP","BETO34B","30.0"
"BETO34B","BEYFORD","30.0"
"BEYLEOP","BEYWMBR","40.0"
"BEYOTWL","BEYALSK","40.0"
"BEYFORD","BEYOTWL","30.0"
"BEIJSLD","BEYPLDK","40.0"
"BEYKSTL","BEIJSLD","40.0"
"BEYPLDK","BEVTOLA","20.0"
"BEYAMRK","BEYKSTL","40.0"
"BEYALSK","BEYAMRK","40.0"
"BEYBYER","BEYWIMO","40.0"
"BEYNDRL","BETO34B","20.0"
"BEYWMBR","BEYOTWL","30.0"
"BETO34B","BEYWMBR","20.0"
"BEYOTWL","BEGRLND","40.0"
"BEYOTWL","BEWSIB","40.0"
"BEWSIB","BEYALSK","10.0"
"BEYALSK","BEALSKA","10.0"
"BEGRLND","BEYALSK","25.0"
"BEYALSK","BEWSIB","10.0"
"BEYORDR","BEYORDM","40.0"
"BEYORDM","BEOORDE","20.0"
"BEOORDE","BELILLO","10.0"
"BEYMSTF","BEVKBYR","40.0"
"BEVKBYR","BEYBYER","40.0"
"BEYBYER","BEYLIBR","40.0"
"BEVACS","BEVACS2","40.0"
"BEVACS2","BEYMSTF","40.0"
"BEKRSCB","BEVACS","40.0"
"BEVTOTL","BEKRSCB","40.0"
"BEYPLDK","BEPETRO","20.0"
"BEYLIBR","BEYWIMO","40.0"
"BEOUDYK","BEYODDK","40.0"
"BENZT","BEBASF","40.0"
"BEYWIMO","BEOUDYK","40.0"
"BEYBERW","BEYLIBR","40.0"
"BEYFRDK","BENZT","40.0"
"BEFNDG9","BEYBERW","40.0"
"BEYODDK","BEYFRDK","40.0"
"BEFND10","BETOX88","40.0"
"BETOX88","BEYLIBR","40.0"
"BEVOIL1","BEVOIL2","40.0"
"BEVSOLV","BEVIBR","40.0"
"BEVEVKA","BEVOIL1","40.0"
"BEVIBR","BEYODDK","40.0"
"BEVVTA","BEVSOLV","40.0"
"BEYWIMO","BEVEVKA","40.0"
"BEVOIL2","BEVMNST","40.0"
"BEVMNST","BEVVTA","40.0"
"BELILLO","BEYWLIL","40.0"
"BEYWLIL","BEYOLIL","40.0"
"BEYKRSK","BEYORDM","20.0"
"BEYORDM","BELILLO","40.0"
"BEFNDG9","BEYKRSK","40.0"
"BEYWLIL","BEYNLIL","40.0"
"BEYNLIL","BEBERDR","40.0"
"BEYOLIL","BEYNLIL","40.0"
"BEYBERW","BEBERDR","40.0"
"BEBERDR","BEYBDHT","40.0"
"BEYNLIL","BEVSTOX","10.0"
"BEYLZDF","BEYKATS","60.0"
"BE1682","BE1696","90.0"
"BEYAVEN","BE1682","60.0"
"BEYHAZP","BEYAVEN","60.0"
"BE1818","BEYWAHK","90.0"
"BEYKATS","BELKL","60.0"
"BEYKOES","BEYHAZP","60.0"
"BELKL","BEYSLND","60.0"
"BEYSLND","BEYKOES","60.0"
"BE1696","BE1818","90.0"
"BEYBSDL","BEFKGRS","40.0"
"BEFKGR0","BEFKGRA","40.0"
"BEFKGRC","BEZUTDL","40.0"
"BEFKGRS","BEFKGR0","40.0"
"BEFKGRA","BEFKGRC","40.0"
"BEYTEMN","BEFKGR1","40.0"
"BEYKABK","BEFKGL2","40.0"
"BEYLFL","BELFLZ","40.0"
"BEYLFL","BELFLCS","40.0"
"BELFLZ","BERBPCH","40.0"
"BELFLZ","BELFLZB","40.0"
"BEYLMAN","BERLFHC","40.0"
"BEGBW","BEVSIBE","40.0"
"BEYFSRC","BEFSRD","40.0"
"BEFSRD","BEFSRRG","40.0"
"BEYFSRC","BEFSRTU","40.0"
"BERFNC1","BEFNDN","10.0"
"BEFNDN","BEFNDBV","10.0"
"BEYEKDK","BEVIVC","40.0"
"BEVIVC","BEYNDRL","40.0"
"BEFCVGH","BEYGHKN","40.0"
"BEFNDB1","BEFNDM9","40.0"
"BEFNDM9","BEFNDB2","40.0"
"BEFNDL9","BEFNDB3","40.0"
"BEFNDB2","BEFNDL9","40.0"
"BEFNDB3","BERNUB3","40.0"
"BEFND10","BEFNDB1","40.0"
"BEFND10","BEFNDM9","40.0"
"BEFNDG9","BEFNDC3","40.0"
"BEFNDC2","BEFNDG9","40.0"
"BERNUC1","BEFNDC2","40.0"
"BERFNC1","BEFNDC1","40.0"
"BEFNDC1","BERNUC1","40.0"
"BERFNC1","BERNUC1","40.0"
"BEFNDD","BEYMUBR","40.0"
"BERFNC1","BEFNDD","40.0"
"BEFEOGR","BEFAZA","40.0"
"BERPAL","BERMGMW","40.0"
"BEREUGL","BESEGAL","40.0"
"BESEGAL","BENGZ","40.0"
"BENGZ","BERPAL","40.0"
